Line number in file, origami,status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time,fit quality
000100001110100100100110000100000000100001010000,0,8,[(3  2)  (2  7)  (5  4)  (4  0)  (3  4)  (3  6)  (1  5)  (1  6)],0,8,000100001110111100100111001110101000100001011000,0001000010000110,16.631,470,0.9492455510687
000000000101000101101000100010010001010011101110,1,8,[(0  6)  (1  0)  (4  0)  (5  7)  (2  5)  (0  4)  (3  6)  (1  5)],0,14,000010101101010101101100100010111001010011101111,0000101001111101,7.138,474,1.110108214696579
011010001001000100000110110110001101110001101000,1,7,[(0  5)  (0  6)  (1  1)  (1  5)  (3  6)  (3  5)  (4  2)],0,10,011011101101010100000110110111101111110001101000,0110111000000101,0.365,478,0.7939306326276304
001001101101000100010110110110101001110001101000,0,7,[(5  3)  (0  4)  (1  2)  (1  6)  (5  5)  (1  4)  (3  5)],0,10,001011101111101100010110110111101001110001111100,0010111000001111,0.595,482,1.0984429254295076
100000110110001110001010001100011111100001001010,1,7,[(4  7)  (0  3)  (0  1)  (2  1)  (0  4)  (3  6)  (1  3)],3,13,010100101001111111001100010100111100111011011011,0101001001110110,7.657,487,1.4035572893650383
001110100100000000110000010011000110100001000010,0,8,[(1  7)  (5  5)  (4  0)  (1  0)  (3  6)  (4  3)  (4  6)  (4  5)],0,8,001110101100000100110000010011101111111001000110,0011101000011000,22.493,492,1.1693465247495338
001000000000001010010100000110011010101111101000,1,8,[(1  7)  (5  6)  (0  4)  (5  3)  (0  7)  (0  5)  (3  5)  (1  1)],3,5,010111111101010110111000001010011100001010110100,0101111101001011,2.051,494,1.0943731747535426
001001101010000010110000000111011111110000000001,1,3,[(1  7)  (1  4)  (2  5)],0,1,001001101010100110110100000111011111110000000001,0010011001100000,0.015,497,0.8963894045582449
010001111101000110111000001010011100001010100100,1,4,[(0  3)  (5  3)  (0  4)  (1  5)],0,5,010111111101010110111000001010011100001010110100,0101111101001011,0.031,499,1.0731614830774363
000100000111101111101000010111001110011001001100,1,6,[(5  2)  (4  7)  (0  1)  (0  5)  (4  4)  (2  5)],3,0,001101101111011100111010001101111101111000101010,0011011001010101,0.042,501,0.8573023679985362
000100001110001010010010100000001110110001000100,0,7,[(0  5)  (0  1)  (3  4)  (3  3)  (4  7)  (0  7)  (1  4)],1,11,010001001110110110011000100100101110101001010101,0100010000101010,2.95,513,1.3756626436688055
001001101001010100000110110101101110110001101000,1,5,[(0  4)  (3  4)  (0  1)  (4  3)  (1  1)],0,10,011011101101010100000110110111101111110001101000,0110111000000101,0.014,515,1.2983488936694985
